,frame,time,cell number,voltage,resistance,current,power,temperature_1,temperature_2
107,16,8.5,cell_3,4.053,0.301,0.311,7.558854999999999,6353.6,6353.6
108,16,8.5,cell_4,4.049,0.301,0.311,7.558854999999999,6353.6,6353.6
109,16,8.5,cell_5,4.048,0.301,0.311,7.558854999999999,6353.6,6353.6
110,16,8.5,cell_6,4.048,0.302,0.311,7.558854999999999,6353.6,6353.6
111,16,8.5,cell_average,4.050833333333333,0.30166666666666664,0.311,7.558854999999999,6353.6,6353.6
112,17,9.0,cell_1,4.057,0.303,0.311,7.559166000000001,6353.6,6353.6
113,17,9.0,cell_2,4.0520000000000005,0.302,0.311,7.559166000000001,6353.6,6353.6
114,17,9.0,cell_3,4.0520000000000005,0.301,0.311,7.559166000000001,6353.6,6353.6
115,17,9.0,cell_4,4.049,0.301,0.311,7.559166000000001,6353.6,6353.6
116,17,9.0,cell_5,4.048,0.301,0.311,7.559166000000001,6353.6,6353.6
117,17,9.0,cell_6,4.048,0.302,0.311,7.559166000000001,6353.6,6353.6
118,17,9.0,cell_average,4.051000000000001,0.30166666666666664,0.311,7.559166000000001,6353.6,6353.6
119,18,9.5,cell_1,4.055,0.303,0.311,7.558854999999999,6353.6,6353.6
120,18,9.5,cell_2,4.0520000000000005,0.302,0.311,7.558854999999999,6353.6,6353.6
121,18,9.5,cell_3,4.0520000000000005,0.301,0.311,7.558854999999999,6353.6,6353.6
122,18,9.5,cell_4,4.049,0.301,0.311,7.558854999999999,6353.6,6353.6
123,18,9.5,cell_5,4.048,0.301,0.311,7.558854999999999,6353.6,6353.6
124,18,9.5,cell_6,4.049,0.302,0.311,7.558854999999999,6353.6,6353.6
125,18,9.5,cell_average,4.050833333333333,0.30166666666666664,0.311,7.558854999999999,6353.6,6353.6
126,19,10.0,cell_1,4.055,0.303,0.311,7.558544,6353.6,6353.6
127,19,10.0,cell_2,4.0520000000000005,0.302,0.311,7.558544,6353.6,6353.6
128,19,10.0,cell_3,4.0520000000000005,0.301,0.311,7.558544,6353.6,6353.6
129,19,10.0,cell_4,4.049,0.301,0.311,7.558544,6353.6,6353.6
130,19,10.0,cell_5,4.048,0.301,0.311,7.558544,6353.6,6353.6
131,19,10.0,cell_6,4.048,0.302,0.311,7.558544,6353.6,6353.6
132,19,10.0,cell_average,4.050666666666667,0.30166666666666664,0.311,7.558544,6353.6,6353.6
133,20,11.0,cell_1,4.055,0.303,0.311,7.558544,6353.6,6353.6
134,20,11.0,cell_2,4.0520000000000005,0.302,0.311,7.558544,6353.6,6353.6
