,frame,cell number,voltage,resistance,current,power
200,29,cell_5,3.822,0.303,6.149,142.084943
201,29,cell_6,3.826,0.303,6.149,142.084943
202,29,cell_average,3.8511666666666664,0.30349999999999994,6.149,142.084943
203,30,cell_1,3.898,0.305,6.149,141.882026
204,30,cell_2,3.903,0.304,6.149,141.882026
205,30,cell_3,3.902,0.303,6.149,141.882026
206,30,cell_4,3.732,0.303,6.149,141.882026
207,30,cell_5,3.817,0.303,6.149,141.882026
208,30,cell_6,3.822,0.303,6.149,141.882026
209,30,cell_average,3.8456666666666663,0.30349999999999994,6.149,141.882026
210,31,cell_1,3.898,0.305,6.149,141.882026
211,31,cell_2,3.903,0.304,6.149,141.882026
212,31,cell_3,3.902,0.303,6.149,141.882026
213,31,cell_4,3.732,0.303,6.149,141.882026
214,31,cell_5,3.817,0.303,6.149,141.882026
215,31,cell_6,3.822,0.303,6.149,141.882026
216,31,cell_average,3.8456666666666663,0.30349999999999994,6.149,141.882026
217,32,cell_1,3.9010000000000002,0.305,6.149,141.838983
218,32,cell_2,3.902,0.304,6.149,141.838983
219,32,cell_3,3.898,0.303,6.149,141.838983
220,32,cell_4,3.731,0.303,6.149,141.838983
221,32,cell_5,3.818,0.303,6.149,141.838983
222,32,cell_6,3.817,0.303,6.149,141.838983
223,32,cell_average,3.8445,0.30349999999999994,6.149,141.838983
224,33,cell_1,3.9010000000000002,0.305,6.149,141.838983
225,33,cell_2,3.902,0.304,6.149,141.838983
226,33,cell_3,3.898,0.303,6.149,141.838983
227,33,cell_4,3.731,0.303,6.149,141.838983
228,33,cell_5,3.818,0.303,6.149,141.838983
229,33,cell_6,3.817,0.303,6.149,141.838983
230,33,cell_average,3.8445,0.30349999999999994,6.149,141.838983
231,34,cell_1,3.898,0.305,6.149,141.765195
232,34,cell_2,3.9,0.304,6.149,141.765195
233,34,cell_3,3.8970000000000002,0.303,6.149,141.765195
234,34,cell_4,3.728,0.303,6.149,141.765195
235,34,cell_5,3.8160000000000003,0.303,6.149,141.765195
236,34,cell_6,3.8160000000000003,0.303,6.149,141.765195
237,34,cell_average,3.8425,0.30349999999999994,6.149,141.765195
238,35,cell_1,3.898,0.305,6.149,141.765195
239,35,cell_2,3.9,0.304,6.149,141.765195
240,35,cell_3,3.8970000000000002,0.303,6.149,141.765195
241,35,cell_4,3.728,0.303,6.149,141.765195
242,35,cell_5,3.8160000000000003,0.303,6.149,141.765195
243,35,cell_6,3.8160000000000003,0.303,6.149,141.765195
244,35,cell_average,3.8425,0.30349999999999994,6.149,141.765195
245,36,cell_1,3.895,0.305,6.071,139.86369800000003
246,36,cell_2,3.895,0.304,6.071,139.86369800000003
247,36,cell_3,3.894,0.303,6.071,139.86369800000003
248,36,cell_4,3.73,0.303,6.071,139.86369800000003
249,36,cell_5,3.8120000000000003,0.303,6.071,139.86369800000003
250,36,cell_6,3.8120000000000003,0.303,6.071,139.86369800000003
251,36,cell_average,3.8396666666666674,0.30349999999999994,6.071,139.86369800000003
252,37,cell_1,3.895,0.305,6.149,141.66066200000003
253,37,cell_2,3.895,0.304,6.149,141.66066200000003
254,37,cell_3,3.894,0.303,6.149,141.66066200000003
255,37,cell_4,3.73,0.303,6.149,141.66066200000003
256,37,cell_5,3.8120000000000003,0.303,6.149,141.66066200000003
257,37,cell_6,3.8120000000000003,0.303,6.149,141.66066200000003
258,37,cell_average,3.8396666666666674,0.30349999999999994,6.149,141.66066200000003
259,38,cell_1,3.8970000000000002,0.305,6.227,143.43894500000002
260,38,cell_2,3.8970000000000002,0.304,6.227,143.43894500000002
261,38,cell_3,3.894,0.303,6.227,143.43894500000002
262,38,cell_4,3.725,0.303,6.227,143.43894500000002
263,38,cell_5,3.81,0.303,6.227,143.43894500000002
264,38,cell_6,3.8120000000000003,0.303,6.227,143.43894500000002
265,38,cell_average,3.839166666666667,0.30349999999999994,6.227,143.43894500000002
266,39,cell_1,3.8970000000000002,0.305,5.993,138.048755
267,39,cell_2,3.8970000000000002,0.304,5.993,138.048755
268,39,cell_3,3.894,0.303,5.993,138.048755
269,39,cell_4,3.725,0.303,5.993,138.048755
270,39,cell_5,3.81,0.303,5.993,138.048755
271,39,cell_6,3.8120000000000003,0.303,5.993,138.048755
272,39,cell_average,3.839166666666667,0.30349999999999994,5.993,138.048755
273,40,cell_1,3.8970000000000002,0.305,6.149,141.623768
274,40,cell_2,3.898,0.304,6.149,141.623768
275,40,cell_3,3.896,0.303,6.149,141.623768
276,40,cell_4,3.727,0.303,6.149,141.623768
277,40,cell_5,3.805,0.303,6.149,141.623768
278,40,cell_6,3.809,0.303,6.149,141.623768
279,40,cell_average,3.8386666666666667,0.30349999999999994,6.149,141.623768
280,41,cell_1,3.8970000000000002,0.305,6.149,141.623768
281,41,cell_2,3.898,0.304,6.149,141.623768
282,41,cell_3,3.896,0.303,6.149,141.623768
283,41,cell_4,3.727,0.303,6.149,141.623768
284,41,cell_5,3.805,0.303,6.149,141.623768
285,41,cell_6,3.809,0.303,6.149,141.623768
286,41,cell_average,3.8386666666666667,0.30349999999999994,6.149,141.623768
287,42,cell_1,3.89,0.305,6.149,141.556129
288,42,cell_2,3.894,0.304,6.149,141.556129
289,42,cell_3,3.896,0.303,6.149,141.556129
290,42,cell_4,3.727,0.303,6.149,141.556129
291,42,cell_5,3.805,0.303,6.149,141.556129
292,42,cell_6,3.809,0.303,6.149,141.556129
293,42,cell_average,3.8368333333333333,0.30349999999999994,6.149,141.556129
294,43,cell_1,3.89,0.305,6.149,141.519235
295,43,cell_2,3.888,0.304,6.149,141.519235
296,43,cell_3,3.896,0.303,6.149,141.519235
297,43,cell_4,3.727,0.303,6.149,141.519235
298,43,cell_5,3.805,0.303,6.149,141.519235
299,43,cell_6,3.809,0.303,6.149,141.519235
300,43,cell_average,3.8358333333333334,0.30349999999999994,6.149,141.519235
301,44,cell_1,3.89,0.305,6.227,143.289497
302,44,cell_2,3.888,0.304,6.227,143.289497
303,44,cell_3,3.895,0.303,6.227,143.289497
304,44,cell_4,3.727,0.303,6.227,143.289497
305,44,cell_5,3.805,0.303,6.227,143.289497
306,44,cell_6,3.806,0.303,6.227,143.289497
307,44,cell_average,3.8351666666666673,0.30349999999999994,6.227,143.289497
308,45,cell_1,3.89,0.305,6.305,145.08435500000002
309,45,cell_2,3.888,0.304,6.305,145.08435500000002
310,45,cell_3,3.895,0.303,6.305,145.08435500000002
311,45,cell_4,3.727,0.303,6.305,145.08435500000002
312,45,cell_5,3.805,0.303,6.305,145.08435500000002
313,45,cell_6,3.806,0.303,6.305,145.08435500000002
314,45,cell_average,3.8351666666666673,0.30349999999999994,6.305,145.08435500000002
315,46,cell_1,3.888,0.305,6.149,141.48849
316,46,cell_2,3.8890000000000002,0.304,6.149,141.48849
317,46,cell_3,3.895,0.303,6.149,141.48849
318,46,cell_4,3.727,0.303,6.149,141.48849
319,46,cell_5,3.805,0.303,6.149,141.48849
320,46,cell_6,3.806,0.303,6.149,141.48849
321,46,cell_average,3.8350000000000004,0.30349999999999994,6.149,141.48849
322,47,cell_1,3.888,0.305,6.227,143.152503
323,47,cell_2,3.8890000000000002,0.304,6.227,143.152503
324,47,cell_3,3.888,0.303,6.227,143.152503
325,47,cell_4,3.72,0.303,6.227,143.152503
326,47,cell_5,3.8000000000000003,0.303,6.227,143.152503
327,47,cell_6,3.8040000000000003,0.303,6.227,143.152503
328,47,cell_average,3.8314999999999997,0.30349999999999994,6.227,143.152503
329,48,cell_1,3.888,0.305,6.149,141.35936099999998
330,48,cell_2,3.8890000000000002,0.304,6.149,141.35936099999998
331,48,cell_3,3.888,0.303,6.149,141.35936099999998
332,48,cell_4,3.72,0.303,6.149,141.35936099999998
333,48,cell_5,3.8000000000000003,0.303,6.149,141.35936099999998
