,frame,cell number,voltage,resistance,current,power,temperature_1,temperature_2
132,19,cell_average,4.0445,0.3123333333333333,0.0,0.0,22.6,22.400000000000002
133,20,cell_1,4.046,0.315,0.0,0.0,22.5,22.400000000000002
134,20,cell_2,4.059,0.312,0.0,0.0,22.5,22.400000000000002
135,20,cell_3,4.054,0.313,0.0,0.0,22.5,22.400000000000002
136,20,cell_4,4.03,0.313,0.0,0.0,22.5,22.400000000000002
137,20,cell_5,4.037,0.309,0.0,0.0,22.5,22.400000000000002
138,20,cell_6,4.042,0.312,0.0,0.0,22.5,22.400000000000002
139,20,cell_average,4.044666666666667,0.3123333333333333,0.0,0.0,22.5,22.400000000000002
140,21,cell_1,4.046,0.315,0.0,0.0,22.5,22.400000000000002
141,21,cell_2,4.059,0.312,0.0,0.0,22.5,22.400000000000002
142,21,cell_3,4.054,0.313,0.0,0.0,22.5,22.400000000000002
143,21,cell_4,4.03,0.313,0.0,0.0,22.5,22.400000000000002
144,21,cell_5,4.037,0.309,0.0,0.0,22.5,22.400000000000002
145,21,cell_6,4.042,0.312,0.0,0.0,22.5,22.400000000000002
146,21,cell_average,4.044666666666667,0.3123333333333333,0.0,0.0,22.5,22.400000000000002
147,22,cell_1,4.046,0.315,0.0,0.0,22.5,22.400000000000002
148,22,cell_2,4.059,0.312,0.0,0.0,22.5,22.400000000000002
149,22,cell_3,4.054,0.313,0.0,0.0,22.5,22.400000000000002
150,22,cell_4,4.03,0.313,0.0,0.0,22.5,22.400000000000002
151,22,cell_5,4.037,0.309,0.0,0.0,22.5,22.400000000000002
152,22,cell_6,4.042,0.312,0.0,0.0,22.5,22.400000000000002
153,22,cell_average,4.044666666666667,0.3123333333333333,0.0,0.0,22.5,22.400000000000002
154,23,cell_1,4.046,0.315,0.0,0.0,22.5,22.400000000000002
155,23,cell_2,4.059,0.312,0.0,0.0,22.5,22.400000000000002
156,23,cell_3,4.054,0.313,0.0,0.0,22.5,22.400000000000002
157,23,cell_4,4.03,0.313,0.0,0.0,22.5,22.400000000000002
158,23,cell_5,4.037,0.309,0.0,0.0,22.5,22.400000000000002
159,23,cell_6,4.042,0.312,0.0,0.0,22.5,22.400000000000002
160,23,cell_average,4.044666666666667,0.3123333333333333,0.0,0.0,22.5,22.400000000000002
161,24,cell_1,4.05,0.315,0.0,0.0,22.5,22.400000000000002
162,24,cell_2,4.059,0.312,0.0,0.0,22.5,22.400000000000002
163,24,cell_3,4.054,0.313,0.0,0.0,22.5,22.400000000000002
164,24,cell_4,4.03,0.313,0.0,0.0,22.5,22.400000000000002
165,24,cell_5,4.037,0.309,0.0,0.0,22.5,22.400000000000002
166,24,cell_6,4.041,0.312,0.0,0.0,22.5,22.400000000000002
167,24,cell_average,4.045166666666667,0.3123333333333333,0.0,0.0,22.5,22.400000000000002
168,25,cell_1,4.05,0.315,0.0,0.0,22.5,22.400000000000002
169,25,cell_2,4.059,0.312,0.0,0.0,22.5,22.400000000000002
170,25,cell_3,4.054,0.313,0.0,0.0,22.5,22.400000000000002
171,25,cell_4,4.03,0.313,0.0,0.0,22.5,22.400000000000002
172,25,cell_5,4.037,0.309,0.0,0.0,22.5,22.400000000000002
173,25,cell_6,4.041,0.312,0.0,0.0,22.5,22.400000000000002
174,25,cell_average,4.045166666666667,0.3123333333333333,0.0,0.0,22.5,22.400000000000002
175,26,cell_1,4.05,0.315,0.0,0.0,22.5,22.400000000000002
176,26,cell_2,4.053,0.312,0.0,0.0,22.5,22.400000000000002
177,26,cell_3,4.054,0.313,0.0,0.0,22.5,22.400000000000002
178,26,cell_4,4.03,0.313,0.0,0.0,22.5,22.400000000000002
179,26,cell_5,4.0360000000000005,0.309,0.0,0.0,22.5,22.400000000000002
180,26,cell_6,4.041,0.312,0.0,0.0,22.5,22.400000000000002
181,26,cell_average,4.0440000000000005,0.3123333333333333,0.0,0.0,22.5,22.400000000000002
182,27,cell_1,4.05,0.315,0.0,0.0,22.5,22.400000000000002
183,27,cell_2,4.053,0.312,0.0,0.0,22.5,22.400000000000002
184,27,cell_3,4.054,0.313,0.0,0.0,22.5,22.400000000000002
185,27,cell_4,4.03,0.313,0.0,0.0,22.5,22.400000000000002
186,27,cell_5,4.0360000000000005,0.309,0.0,0.0,22.5,22.400000000000002
187,27,cell_6,4.041,0.312,0.0,0.0,22.5,22.400000000000002
188,27,cell_average,4.0440000000000005,0.3123333333333333,0.0,0.0,22.5,22.400000000000002
189,28,cell_1,4.053,0.315,0.0,0.0,22.5,22.400000000000002
190,28,cell_2,4.053,0.312,0.0,0.0,22.5,22.400000000000002
191,28,cell_3,4.054,0.313,0.0,0.0,22.5,22.400000000000002
192,28,cell_4,4.03,0.313,0.0,0.0,22.5,22.400000000000002
193,28,cell_5,4.0360000000000005,0.309,0.0,0.0,22.5,22.400000000000002
194,28,cell_6,4.041,0.312,0.0,0.0,22.5,22.400000000000002
195,28,cell_average,4.0445,0.3123333333333333,0.0,0.0,22.5,22.400000000000002
196,29,cell_1,4.053,0.315,0.0,0.0,22.5,22.400000000000002
197,29,cell_2,4.053,0.312,0.0,0.0,22.5,22.400000000000002
198,29,cell_3,4.054,0.313,0.0,0.0,22.5,22.400000000000002
199,29,cell_4,4.03,0.313,0.0,0.0,22.5,22.400000000000002
200,29,cell_5,4.0360000000000005,0.309,0.0,0.0,22.5,22.400000000000002
201,29,cell_6,4.041,0.312,0.0,0.0,22.5,22.400000000000002
202,29,cell_average,4.0445,0.3123333333333333,0.0,0.0,22.5,22.400000000000002
203,30,cell_1,4.053,0.315,0.0,0.0,22.5,22.400000000000002
204,30,cell_2,4.053,0.312,0.0,0.0,22.5,22.400000000000002
205,30,cell_3,4.054,0.313,0.0,0.0,22.5,22.400000000000002
206,30,cell_4,4.03,0.313,0.0,0.0,22.5,22.400000000000002
207,30,cell_5,4.037,0.309,0.0,0.0,22.5,22.400000000000002
208,30,cell_6,4.041,0.312,0.0,0.0,22.5,22.400000000000002
209,30,cell_average,4.044666666666667,0.3123333333333333,0.0,0.0,22.5,22.400000000000002
210,31,cell_1,4.053,0.315,0.0,0.0,22.5,22.400000000000002
211,31,cell_2,4.053,0.312,0.0,0.0,22.5,22.400000000000002
212,31,cell_3,4.054,0.313,0.0,0.0,22.5,22.400000000000002
213,31,cell_4,4.03,0.313,0.0,0.0,22.5,22.400000000000002
214,31,cell_5,4.037,0.309,0.0,0.0,22.5,22.400000000000002
215,31,cell_6,4.041,0.312,0.0,0.0,22.5,22.400000000000002
216,31,cell_average,4.044666666666667,0.3123333333333333,0.0,0.0,22.5,22.400000000000002
217,32,cell_1,4.053,0.315,0.0,0.0,22.5,22.400000000000002
218,32,cell_2,4.0520000000000005,0.312,0.0,0.0,22.5,22.400000000000002
219,32,cell_3,4.054,0.313,0.0,0.0,22.5,22.400000000000002
220,32,cell_4,4.03,0.313,0.0,0.0,22.5,22.400000000000002
221,32,cell_5,4.037,0.309,0.0,0.0,22.5,22.400000000000002
222,32,cell_6,4.041,0.312,0.0,0.0,22.5,22.400000000000002
223,32,cell_average,4.0445,0.3123333333333333,0.0,0.0,22.5,22.400000000000002
224,33,cell_1,4.053,0.315,0.0,0.0,22.5,22.3
225,33,cell_2,4.0520000000000005,0.312,0.0,0.0,22.5,22.3
226,33,cell_3,4.054,0.313,0.0,0.0,22.5,22.3
227,33,cell_4,4.03,0.313,0.0,0.0,22.5,22.3
228,33,cell_5,4.037,0.309,0.0,0.0,22.5,22.3
229,33,cell_6,4.041,0.312,0.0,0.0,22.5,22.3
230,33,cell_average,4.0445,0.3123333333333333,0.0,0.0,22.5,22.3
231,34,cell_1,4.053,0.315,0.0,0.0,22.5,22.400000000000002
232,34,cell_2,4.053,0.312,0.0,0.0,22.5,22.400000000000002
233,34,cell_3,4.054,0.313,0.0,0.0,22.5,22.400000000000002
234,34,cell_4,4.03,0.313,0.0,0.0,22.5,22.400000000000002
235,34,cell_5,4.0360000000000005,0.309,0.0,0.0,22.5,22.400000000000002
236,34,cell_6,4.041,0.312,0.0,0.0,22.5,22.400000000000002
237,34,cell_average,4.0445,0.3123333333333333,0.0,0.0,22.5,22.400000000000002
238,35,cell_1,4.053,0.315,0.0,0.0,22.5,22.400000000000002
239,35,cell_2,4.053,0.312,0.0,0.0,22.5,22.400000000000002
240,35,cell_3,4.054,0.313,0.0,0.0,22.5,22.400000000000002
241,35,cell_4,4.03,0.313,0.0,0.0,22.5,22.400000000000002
242,35,cell_5,4.0360000000000005,0.309,0.0,0.0,22.5,22.400000000000002
243,35,cell_6,4.041,0.312,0.0,0.0,22.5,22.400000000000002
244,35,cell_average,4.0445,0.3123333333333333,0.0,0.0,22.5,22.400000000000002
245,36,cell_1,4.053,0.315,0.0,0.0,22.5,22.400000000000002
246,36,cell_2,4.054,0.312,0.0,0.0,22.5,22.400000000000002
247,36,cell_3,4.054,0.313,0.0,0.0,22.5,22.400000000000002
248,36,cell_4,4.03,0.313,0.0,0.0,22.5,22.400000000000002
249,36,cell_5,4.0360000000000005,0.309,0.0,0.0,22.5,22.400000000000002
250,36,cell_6,4.041,0.312,0.0,0.0,22.5,22.400000000000002
251,36,cell_average,4.044666666666667,0.3123333333333333,0.0,0.0,22.5,22.400000000000002
252,37,cell_1,4.053,0.315,0.0,0.0,22.5,22.3
253,37,cell_2,4.054,0.312,0.0,0.0,22.5,22.3
254,37,cell_3,4.054,0.313,0.0,0.0,22.5,22.3
255,37,cell_4,4.03,0.313,0.0,0.0,22.5,22.3
256,37,cell_5,4.0360000000000005,0.309,0.0,0.0,22.5,22.3
257,37,cell_6,4.041,0.312,0.0,0.0,22.5,22.3
258,37,cell_average,4.044666666666667,0.3123333333333333,0.0,0.0,22.5,22.3
259,38,cell_1,4.053,0.315,0.0,0.0,22.5,22.3
260,38,cell_2,4.054,0.312,0.0,0.0,22.5,22.3
261,38,cell_3,4.048,0.313,0.0,0.0,22.5,22.3
262,38,cell_4,4.029,0.313,0.0,0.0,22.5,22.3
263,38,cell_5,4.037,0.309,0.0,0.0,22.5,22.3
264,38,cell_6,4.041,0.312,0.0,0.0,22.5,22.3
265,38,cell_average,4.043666666666666,0.3123333333333333,0.0,0.0,22.5,22.3
266,39,cell_1,4.053,0.315,0.0,0.0,22.5,22.3
267,39,cell_2,4.054,0.312,0.0,0.0,22.5,22.3
268,39,cell_3,4.048,0.313,0.0,0.0,22.5,22.3
269,39,cell_4,4.029,0.313,0.0,0.0,22.5,22.3
270,39,cell_5,4.037,0.309,0.0,0.0,22.5,22.3
271,39,cell_6,4.041,0.312,0.0,0.0,22.5,22.3
272,39,cell_average,4.043666666666666,0.3123333333333333,0.0,0.0,22.5,22.3
273,40,cell_1,4.053,0.315,0.0,0.0,22.5,22.400000000000002
274,40,cell_2,4.057,0.312,0.0,0.0,22.5,22.400000000000002
275,40,cell_3,4.047,0.313,0.0,0.0,22.5,22.400000000000002
276,40,cell_4,4.029,0.313,0.0,0.0,22.5,22.400000000000002
277,40,cell_5,4.037,0.309,0.0,0.0,22.5,22.400000000000002
278,40,cell_6,4.041,0.312,0.0,0.0,22.5,22.400000000000002
279,40,cell_average,4.044,0.3123333333333333,0.0,0.0,22.5,22.400000000000002
280,41,cell_1,4.053,0.315,0.0,0.0,22.5,22.3
281,41,cell_2,4.057,0.312,0.0,0.0,22.5,22.3
282,41,cell_3,4.047,0.313,0.0,0.0,22.5,22.3
283,41,cell_4,4.029,0.313,0.0,0.0,22.5,22.3
284,41,cell_5,4.037,0.309,0.0,0.0,22.5,22.3
285,41,cell_6,4.041,0.312,0.0,0.0,22.5,22.3
